"","taxon_oid","NCBI.Assembly.Accession","Species","Biotic.Relationships","Habitat","Isolation","Phenotype","Relevance","Host.Name","Diseases","Ecosystem","Ecosystem.Category","Ecosystem.Subtype","Ecosystem.Type","Specific.Ecosystem"
"745",2850985981,"GCA_003626935.2","Pseudomonas aeruginosa",NA,NA,"blood",NA,NA,"Homo sapiens",NA,"Host-associated","Mammals: Human","Blood","Circulatory system","Unclassified"
"746",2681813355,"GCA_001181645.1","Pseudomonas aeruginosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"747",8044487674,"GCA_003700005.1","Pseudomonas savastanoi",NA,NA,NA,NA,"Evolution",NA,NA,NA,NA,NA,NA,NA
"748",2747842423,NA,"unclassified",NA,NA,NA,NA,NA,NA,NA,"Environmental","Aquatic","Lake","Freshwater","Unclassified"
"749",2506783020,"GCA_000452765","Pseudomonas syringae","Free living","Host","isolated from at Vieux Pass in the Hautes-Alpes region of France",NA,"Agricultural",NA,NA,"Environmental","Terrestrial","Unclassified","Unclassified","Unclassified"
"750",2791355536,"GCA_002882515.1","Pseudomonas sp. MPR-R2A7",NA,NA,"Groundwater from well: FW305",NA,"Environmental",NA,NA,"Environmental","Aquatic","Groundwater","Freshwater","Unclassified"
"751",2791355608,"GCA_002882335.1","Pseudomonas sp. GW460-E13",NA,NA,"Groundwater from well: GW460",NA,"Environmental",NA,NA,"Environmental","Aquatic","Groundwater","Freshwater","Unclassified"
"752",2718217915,"GCA_001708445.1","Pseudomonas fluorescens",NA,NA,"Interior of surface sterilised leaf tissue",NA,"Agricultural","Miscanthus giganteus",NA,"Host-associated","Plants","Phylloplane/Leaf","Phyllosphere","Unclassified"
"753",2775507200,"GCA_002843285.1","Pseudomonas sp. AK6U",NA,NA,"Oil contaminated soil",NA,NA,NA,NA,"Environmental","Terrestrial","Garden","Soil","Unclassified"
"754",2571042519,"GCA_000481085.1","Pseudomonas aeruginosa",NA,NA,NA,NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Unclassified","Unclassified","Unclassified"
"755",2508501065,"GCA_000145845.1","Pseudomonas syringae group genomosp. 3","Free living","Plants",NA,"Pathogen","Agricultural, Plant Pathogen",NA,"Plant rot",NA,NA,NA,NA,NA
"756",8044201132,"GCA_003416005.1","Pseudomonas coronafaciens",NA,NA,NA,NA,"Evolution","Coffea arabica",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"757",8055675366,"GCA_011040435.1","Pseudomonas psychrophila",NA,NA,"food/cold",NA,NA,NA,NA,NA,NA,NA,NA,NA
"758",2574179945,"GCA_000629245.1","Pseudomonas aeruginosa",NA,NA,NA,NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Unclassified","Unclassified","Unclassified"
"759",2885949775,"GCA_002113765.1","Pseudomonas sp. B17(2017)",NA,NA,"bulk soil from sugarcane field",NA,"Agricultural",NA,NA,"Environmental","Terrestrial","Loam","Soil","Agricultural soil"
"760",2508501057,"GCA_000145905.1","Pseudomonas syringae","Free living","Plants","sugar beet","Pathogen","Agricultural, Plant Pathogen",NA,"Plant rot","Engineered","Food production","Unclassified","Unclassified","Unclassified"
"761",2582580913,"GCA_000629405.1","Pseudomonas aeruginosa",NA,NA,NA,NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Unclassified","Unclassified","Unclassified"
"762",2917825782,"GCA_003851905.1","Pseudomonas chlororaphis",NA,NA,NA,NA,"Agricultural",NA,NA,NA,NA,NA,NA,NA
"763",2791355636,"GCA_002882155.1","Pseudomonas sp. FW306-2-2C-B10A",NA,NA,"Groundwater from well: FW306",NA,"Environmental",NA,NA,"Environmental","Aquatic","Groundwater","Freshwater","Unclassified"
"764",2684623148,"GCA_001516245.1","Pseudomonas aeruginosa",NA,NA,NA,NA,"Medical",NA,NA,NA,NA,NA,NA,NA
"765",8080272579,"GCA_006438925.1","Pseudomonas mandelii",NA,NA,"Ice-wedge polygon",NA,"Environmental",NA,NA,NA,NA,NA,NA,NA
"766",2923140608,"GCA_003850525.1","Pseudomonas chlororaphis",NA,NA,"tomato rhizosphere",NA,"Agricultural","Solanum lycopersicum",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"767",8061798249,"GCA_900590745.1","Pseudomonas viridiflava",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"768",2599185322,"GCA_900106885.1","Pseudomonas sp. NFACC14",NA,NA,"single colony isolate",NA,NA,NA,NA,"Host-associated","Plants","Rhizoplane","Roots","Endophytes"
"769",2630968856,"GCA_000807755.1","Pseudomonas nitroreducens",NA,NA,NA,NA,"Environmental",NA,NA,NA,NA,NA,NA,NA
"770",2988739781,"GCA_003122265.1","Pseudomonas prosekii",NA,NA,NA,NA,NA,NA,NA,"Environmental","Terrestrial","Unclassified","Soil","Unclassified"
"771",8035332281,"GCA_001945365.1","Pseudomonas reinekei",NA,NA,"soil",NA,"Environmental",NA,NA,"Environmental","Terrestrial","Unclassified","Soil","Unclassified"
"772",650377963,"GCA_000183645.1","Pseudomonas putida","Free living",NA,NA,NA,"Biocatalysis, Bioplastic producer, Bioremediation, Biotechnological",NA,"None",NA,NA,NA,NA,NA
"773",8073527118,"GCA_029371965.1","Pseudomonas mendocina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"774",2713896850,"GCA_001400215.1","Pseudomonas syringae",NA,NA,NA,NA,"Evolution",NA,NA,NA,NA,NA,NA,NA
"775",2993265782,NA,"unclassified",NA,NA,"River water",NA,NA,NA,NA,"Environmental","Aquatic","River","Freshwater","Unclassified"
"776",2645727884,"GCA_001420535.1","Pseudomonas aeruginosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"777",2579779063,"GCA_000481105.1","Pseudomonas aeruginosa",NA,NA,NA,NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Unclassified","Unclassified","Unclassified"
"778",8011117741,"GCA_902498135.1","Pseudomonas fluorescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"779",2675903647,"GCA_001269845.1","Pseudomonas fluorescens",NA,NA,"pre-filter water-work",NA,"Environmental",NA,NA,"Environmental","Aquatic","Unclassified","Unclassified","Unclassified"
"780",8035006710,"GCA_003699475.1","Pseudomonas caricapapayae",NA,NA,NA,NA,"Evolution","Carica papaya",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"781",2617270901,"GCA_900215245.1","Pseudomonas fluorescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"782",2574180135,"GCA_000480705.1","Pseudomonas aeruginosa",NA,NA,NA,NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Unclassified","Unclassified","Unclassified"
"783",8044153205,"GCA_003416385.1","Pseudomonas coronafaciens",NA,NA,NA,NA,"Evolution","Coffea arabica",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"784",2757320438,NA,"Pseudomonas sp. OV286",NA,NA,NA,NA,NA,"Populus",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"785",3007750090,"GCA_003732425.1","Pseudomonas fluorescens",NA,NA,"Herbarium",NA,"Agricultural",NA,NA,"Environmental","Terrestrial","Unclassified","Unclassified","Unclassified"
"786",2703719185,NA,"unclassified",NA,NA,NA,NA,NA,NA,NA,"Environmental","Aquatic","Lake","Freshwater","Unclassified"
"787",2875535316,"GCA_002356095.1","Pseudomonas putida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"788",2791355514,"GCA_002980155.1","Pseudomonas sp. MYb115",NA,NA,"Rotting apple",NA,"Model Organism","Caenorhabditis elegans MY379",NA,"Host-associated","Invertebrates","Unclassified","Nematoda","Unclassified"
"789",8045326344,"GCA_900601705.1","Pseudomonas viridiflava",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"790",2908486269,"GCA_003851835.1","Pseudomonas chlororaphis",NA,NA,NA,NA,"Agricultural",NA,NA,NA,NA,NA,NA,NA
"791",2965960871,"GCA_020147905.1","Pseudomonas aeruginosa",NA,NA,"Crude oil well",NA,"Industrial",NA,NA,"Environmental","Aquatic","Oil seeps","Marine","Unclassified"
"792",2881887110,"GCA_003935425.1","Pseudomonas sp. v388",NA,NA,"alcohol foam dispenser in hospital intensive care unit",NA,"Medical",NA,NA,NA,NA,NA,NA,NA
"793",2980558259,"GCA_003352875.1","Pseudomonas fluorescens",NA,NA,NA,NA,"Agricultural","Leonotis nepetifolia",NA,"Host-associated","Mammals","Unclassified","Unclassified","Unclassified"
"794",3007262473,"GCA_003408635.1","Pseudomonas sp. phDV1",NA,NA,"petroleum-contaminated soi",NA,"Environmental",NA,NA,NA,NA,NA,NA,NA
"795",2721755597,"GCA_001870265.1","Pseudomonas aeruginosa",NA,NA,"tracheal aspirate",NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Trachea","Respiratory system","Unclassified"
"796",2919009306,"GCA_031455155.1","Pseudomonas synxantha",NA,NA,"Extraradical hyphae",NA,NA,NA,NA,"Host-associated","Fungi","Unclassified","Mycelium","Unclassified"
"797",2663763493,"GCA_001444835.1","Pseudomonas aeruginosa",NA,NA,NA,NA,"Model Organism",NA,NA,NA,NA,NA,NA,NA
"798",2579778853,"GCA_000481125.1","Pseudomonas aeruginosa",NA,NA,NA,NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Unclassified","Unclassified","Unclassified"
"799",8061646306,"GCA_900583635.1","Pseudomonas viridiflava",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"800",8071801242,"GCA_002312355.1","Pseudomonas aeruginosa",NA,NA,"infected lung",NA,"Environmental",NA,NA,NA,NA,NA,NA,NA
"801",8035439788,"GCA_003732175.1","Pseudomonas brassicacearum",NA,NA,"Wyoming Soil",NA,"Agricultural",NA,NA,"Environmental","Terrestrial","Unclassified","Soil","Unclassified"
"802",2740892079,"GCA_001554785.1","Pseudomonas aeruginosa",NA,NA,"Sputum",NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Sputum/Phlegm","Respiratory system","Unclassified"
"803",2630968629,"GCA_000963835.1","Pseudomonas chlororaphis",NA,NA,NA,NA,"Agricultural",NA,NA,NA,NA,NA,NA,NA
"804",8073939788,"GCA_019655855.2","Pseudomonas paralcaligenes",NA,NA,NA,NA,NA,"Homo sapiens",NA,"Host-associated","Mammals: Human","Unclassified","Unclassified","Unclassified"
"805",8035200514,"GCA_003699905.1","Pseudomonas cannabina",NA,NA,NA,NA,"Evolution","Brassica rapa subsp. rapa",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"806",2734482528,"GCA_001374335.1","Pseudomonas aeruginosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"807",8088468458,"GCA_028747405.1","Pseudomonas chlororaphis",NA,NA,NA,NA,"Industrial",NA,NA,NA,NA,NA,NA,NA
"808",2917039186,"GCA_004346985.1","Pseudomonas aeruginosa",NA,NA,"BAL",NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Unclassified","Unclassified","Unclassified"
"809",2990205228,"GCA_004920405.1","Pseudomonas leptonychotis",NA,NA,"anal mucous membranes from seal",NA,NA,"Leptonychotes weddellii",NA,"Host-associated","Mammals","Large intestine","Digestive system","Anal canal mucosa"
"810",2998109367,"GCA_900580675.1","Pseudomonas viridiflava",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"811",8071291158,"GCA_003632705.1","Pseudomonas aeruginosa",NA,NA,NA,NA,"Medical",NA,NA,NA,NA,NA,NA,NA
"812",8035068365,"GCA_005250605.1","Pseudomonas rhizoryzae",NA,NA,NA,NA,NA,"rice",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"813",2579778733,"GCA_000629565.1","Pseudomonas aeruginosa",NA,NA,NA,NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Unclassified","Unclassified","Unclassified"
"814",8044367276,"GCA_003413245.1","Pseudomonas savastanoi",NA,NA,NA,NA,"Evolution","Phaseolus vulgaris",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"815",2889230251,NA,"Pseudomonas sp. PvP027",NA,NA,"Switchgrass leaf surface",NA,NA,"Panicum virgatum",NA,"Host-associated","Plants","Phylloplane/Leaf surface","Phyllosphere","Unclassified"
"816",2984232459,"GCA_000814065.1","Pseudomonas sp. C5pp",NA,NA,NA,NA,"Environmental",NA,NA,"Environmental","Terrestrial","Unclassified","Soil","Unclassified"
"817",2997878596,"GCA_002934685.1","Pseudomonas bohemica",NA,NA,"bark beetle",NA,NA,NA,NA,"Host-associated","Arthropoda: Insects","Unclassified","Unclassified","Unclassified"
"818",2684622590,"GCA_001605965.1","Pseudomonas koreensis",NA,NA,"soil",NA,"Agricultural",NA,NA,"Environmental","Terrestrial","Unclassified","Soil","Unclassified"
"819",8073508492,"GCA_003974945.1","Pseudomonas aeruginosa",NA,NA,"River",NA,"Model Organism",NA,NA,"Environmental","Aquatic","River","Freshwater","Unclassified"
"820",2667527413,"GCA_900113745.1","Pseudomonas guineae",NA,NA,"single colony isolate",NA,NA,NA,NA,NA,NA,NA,NA,NA
"821",8044899077,"GCA_003701635.1","Pseudomonas amygdali",NA,NA,NA,NA,"Evolution","Photinia glabra",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"822",8035521837,"GCA_002899905.1","Pseudomonas protegens",NA,NA,"stored rice grains",NA,NA,"rice",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"823",2808606363,NA,"Pseudomonas putida",NA,NA,"soil",NA,NA,NA,NA,"Environmental","Terrestrial","Unclassified","Soil","Unclassified"
"824",8052271239,"GCA_003413225.1","Pseudomonas savastanoi",NA,NA,NA,NA,"Evolution","Phaseolus vulgaris",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"825",2617271307,"GCA_000764405.1","Pseudomonas plecoglossicida",NA,NA,NA,NA,"Environmental",NA,NA,NA,NA,NA,NA,NA
"826",2579778558,"GCA_000629165.1","Pseudomonas aeruginosa",NA,NA,NA,NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Unclassified","Unclassified","Unclassified"
"827",2681813362,"GCA_001469695.1","Pseudomonas aeruginosa",NA,NA,NA,NA,"Medical",NA,NA,NA,NA,NA,NA,NA
"828",8044247592,"GCA_003413365.1","Pseudomonas savastanoi",NA,NA,NA,NA,"Evolution","Phaseolus vulgaris",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"829",2808606393,NA,"Pseudomonas frederiksbergensis",NA,NA,"soil",NA,NA,NA,NA,"Environmental","Terrestrial","Unclassified","Soil","Unclassified"
"830",2695420520,"GCA_001181545.1","Pseudomonas aeruginosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"831",2517487005,"GCA_000282975.1","Pseudomonas psychrophila",NA,"Sludge, Wastewater","Activated sludge sample",NA,"Environmental",NA,NA,"Engineered","Wastewater","Unclassified","Activated Sludge","Unclassified"
"832",637000218,"GCA_000006765","Pseudomonas aeruginosa","Free living","Fresh water, Host, Soil, Wastewater","human infected wound","Pathogen, Polar flagella","Agricultural, Human Pathogen, Medical, Plant Pathogen","Homo sapiens","Nosocomial infection","Host-associated","Mammals: Human","Unclassified","Unclassified","Unclassified"
"833",2524614587,"GCA_000452625","Pseudomonas syringae","Free living","Host","Isolated from the Post Farm, experimental farm of Montana State University, Bozeman",NA,"Agricultural",NA,NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"834",8010792475,"GCA_022810825.1","Pseudomonas aeruginosa",NA,NA,"Isolate from a cystic fibrosis chronic infection.","Opportunistic Pathogen","Medical","Homo sapiens","Opportunistic infection","Host-associated","Mammals: Human","Unclassified","Unclassified","Unclassified"
"835",2802429421,"GCA_002966835.1","Pseudomonas lurida",NA,NA,"Rotting apple",NA,"Model Organism","Caenorhabditis elegans MY316",NA,"Host-associated","Invertebrates","Unclassified","Nematoda","Unclassified"
"836",2728368914,"GCA_001535875.1","Pseudomonas syringae",NA,NA,NA,NA,"Evolution",NA,NA,NA,NA,NA,NA,NA
"837",8044523021,"GCA_003702785.1","Pseudomonas savastanoi",NA,NA,NA,NA,"Evolution","Lablab purpureus",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"838",8044875748,"GCA_003701955.1","Pseudomonas amygdali",NA,NA,NA,NA,"Evolution","Morella rubra",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"839",2990177867,"GCA_014646755.1","Pseudomonas asuensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"840",2675902959,"GCA_900104975.1","Pseudomonas sp. Z003-0.4C(8344-21)",NA,NA,"Human airways",NA,NA,NA,NA,"Host-associated","Mammals: Human","Unclassified","Respiratory system","Unclassified"
"841",8044846326,"GCA_003700615.1","Pseudomonas amygdali",NA,NA,NA,NA,"Evolution","Prunus avium",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"842",2886067821,"GCA_001705835.1","Pseudomonas sp. BIOMIG1N",NA,NA,"sewage enriched with benzalkonium chloride",NA,"Environmental",NA,NA,"Engineered","Wastewater","Unclassified","Sewage","Unclassified"
"843",2731958018,"GCA_001373755.1","Pseudomonas aeruginosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"844",2791355588,"GCA_002882795.1","Pseudomonas sp. FW215-L2",NA,NA,"Groundwater from well: FW215",NA,"Environmental",NA,NA,"Environmental","Aquatic","Groundwater","Freshwater","Unclassified"
"845",2648501207,"GCA_000970615.1","Pseudomonas sp. 10B238",NA,NA,NA,NA,"Environmental",NA,NA,NA,NA,NA,NA,NA
"846",2516653057,NA,"Pseudomonas cannabina","Symbiotic","Plants","Cultivation field",NA,"Plant Pathogen",NA,NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"847",2687453569,"GCA_001515585.2","Pseudomonas putida",NA,NA,"soil",NA,"Agricultural",NA,NA,"Environmental","Terrestrial","Unclassified","Soil","Unclassified"
"848",8035362727,"GCA_002269545.1","Pseudomonas fragi",NA,NA,"aerobically stored beef",NA,NA,NA,NA,"Engineered","Food production","Unclassified","Meat products","Unclassified"
"849",2568526560,"GCA_000480495.1","Pseudomonas aeruginosa",NA,NA,NA,NA,"Medical",NA,NA,"Environmental","Unclassified","Unclassified","Unclassified","Unclassified"
"850",2885944559,"GCA_002113185.1","Pseudomonas sp. B18(2017)",NA,NA,"bulk soil from sugarcane field",NA,"Agricultural",NA,NA,"Environmental","Terrestrial","Loam","Soil","Agricultural soil"
"851",3007246537,"GCA_000226035.3","Pseudomonas putida",NA,"Soil",NA,NA,"Environmental",NA,NA,"Environmental","Terrestrial","Unclassified","Unclassified","Unclassified"
"852",2681812922,NA,"Pseudomonas syringae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"853",2582580927,"GCA_000629605.1","Pseudomonas aeruginosa",NA,NA,NA,NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Unclassified","Unclassified","Unclassified"
"854",2660238192,"GCA_000506105.1","Pseudomonas aeruginosa",NA,NA,"sputum",NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Sputum/Phlegm","Respiratory system","Unclassified"
"855",3007837375,"GCA_012985465.1","Pseudomonas sp. WS 5079",NA,NA,"raw milk",NA,"Environmental",NA,NA,"Engineered","Food production","Unclassified","Dairy products","Unclassified"
"856",2660238313,"GCA_001439845.1","Pseudomonas lactis",NA,NA,"raw milk",NA,"Evolution",NA,NA,"Engineered","Food production","Unclassified","Dairy products","Unclassified"
"857",2636415728,"GCA_000800615.1","Pseudomonas sp. PA14H7",NA,NA,NA,NA,"Agricultural",NA,NA,NA,NA,NA,NA,NA
"858",8070581484,"GCA_001451525.1","Pseudomonas aeruginosa",NA,NA,"Hospital",NA,"Medical",NA,NA,"Engineered","Built environment","Unclassified","Hospital","Unclassified"
"859",8044829498,"GCA_900589055.1","Pseudomonas viridiflava",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"860",8052283494,"GCA_003701865.1","Pseudomonas savastanoi",NA,NA,NA,NA,"Evolution","Broussonetia kazinoki Sieb. X Broussonetia papyrifa Vent.",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"861",2600254970,"GCA_000742775.1","Pseudomonas sp. 1-7",NA,NA,NA,NA,"Environmental",NA,NA,NA,NA,NA,NA,NA
"862",2599185167,"GCA_900115535.1","Pseudomonas sp. NFPP28",NA,NA,"single colony isolate",NA,NA,NA,NA,"Host-associated","Plants","Rhizoplane","Roots","Endophytes"
"863",2599185155,"GCA_900119195.1","Pseudomonas sp. NFACC10-1",NA,NA,"single colony isolate",NA,NA,NA,NA,"Host-associated","Plants","Rhizoplane","Roots","Endophytes"
"864",8010811967,"GCA_000796795.1","Pseudomonas aeruginosa",NA,NA,"cystic fibrosis isolate",NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Unclassified","Unclassified","Unclassified"
"865",2521172669,"GCA_900230135.1","Pseudomonas sp. LAIL14HWK12:I3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"866",2788499861,NA,"Pseudomonas sp. WPR_5_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"867",8044071590,"GCA_003416665.1","Pseudomonas coronafaciens",NA,NA,NA,NA,"Evolution","Coffea arabica",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"868",2731958004,"GCA_001373615.1","Pseudomonas aeruginosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"869",2545555815,"GCA_900177525.1","Pseudomonas sp. URMO17WK12:I5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"870",2531839204,"GCA_000294445","Pseudomonas putida","Free living","Host, Soil, Wastewater","Wastewater Treatment Plant, Winnipeg",NA,"Bioremediation",NA,"None","Engineered","Wastewater","Unclassified","Unclassified","Unclassified"
"871",2619619250,"GCA_000611995","Pseudomonas aeruginosa",NA,NA,NA,NA,"Medical",NA,NA,NA,NA,NA,NA,NA
"872",8045073222,"GCA_001400525.1","Pseudomonas amygdali",NA,NA,NA,NA,"Evolution",NA,NA,NA,NA,NA,NA,NA
"873",8011261828,"GCA_019823065.1","Pseudomonas mosselii",NA,"Human trachea","Tracheal aspirate, 1990",NA,NA,"Homo sapiens",NA,"Host-associated","Mammals: Human","Trachea","Respiratory system","Unclassified"
"874",2506210031,"GCA_000275925.1","Pseudomonas fluorescens","Free living","Fresh water, Host, Soil",NA,"Pathogen","Human Pathogen, Medical","Agaricus bisporus","None","Host-associated","Fungi","Unclassified","Unclassified","Unclassified"
"875",2917077041,"GCA_900618535.1","Pseudomonas bubulae",NA,"Beef food product","refrigerated raw beef",NA,NA,NA,NA,"Engineered","Food production","Raw meat","Meat products","Unclassified"
"876",2791355604,"GCA_002158995.1","Pseudomonas caspiana",NA,NA,"Plant leaves",NA,"Agricultural","Citrus",NA,"Host-associated","Plants","Phylloplane/Leaf surface","Phyllosphere","Unclassified"
"877",8035492398,"GCA_900455585.1","Pseudomonas mendocina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"878",8044735481,"GCA_900599065.1","Pseudomonas viridiflava",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"879",2713897223,"GCA_001269625.1","Pseudomonas chlororaphis",NA,NA,"contaminated plate",NA,"Environmental",NA,NA,"Engineered","Lab culture","Unclassified","Culture media","Unclassified"
"880",2579778861,"GCA_000517305.1","Pseudomonas cichorii",NA,NA,NA,NA,"Agricultural",NA,NA,NA,NA,NA,NA,NA
"881",2724679066,"GCA_001601745.1","Pseudomonas aeruginosa",NA,NA,"wound",NA,"Medical",NA,NA,NA,NA,NA,NA,NA
"882",2579778699,"GCA_000597765.1","Pseudomonas syringae",NA,NA,"Syringa vulgaris, Great Britain",NA,"Evolution",NA,NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"883",8011314740,"GCA_015471405.1","Pseudomonas cichorii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"884",2738543025,NA,"Pseudomonas sp. GV091",NA,NA,"Populus root",NA,NA,"Populus",NA,"Host-associated","Plants","Unclassified","Roots","Unclassified"
"885",8045320790,"GCA_900581985.1","Pseudomonas viridiflava",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"886",2667527434,"GCA_900104805.1","Pseudomonas oryzae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"887",3007809414,"GCA_013386825.1","Pseudomonas sp. IPO3778",NA,NA,"Symptomatic mushroom tissue",NA,"Agricultural","Agaricus bisporus",NA,"Host-associated","Fungi","Unclassified","Unclassified","Unclassified"
"888",8034962539,"GCA_002741105.1","Pseudomonas sediminis",NA,NA,"rhizosphere sediment",NA,"Agricultural","Phragmites karka",NA,"Host-associated","Plants","Rhizosphere","Roots","Unclassified"
"889",8044540308,"GCA_003701095.1","Pseudomonas savastanoi",NA,NA,NA,NA,"Evolution",NA,NA,NA,NA,NA,NA,NA
"890",2767802268,"GCA_900005935.1","Pseudomonas sp. 31 E 6",NA,NA,NA,NA,NA,NA,NA,"Environmental","Terrestrial","Unclassified","Soil","Unclassified"
"891",8035040114,"GCA_004327225.1","Pseudomonas dryadis",NA,NA,"Larval galleries created by Agrilus biguttatus",NA,"Environmental","Quercus robur",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"892",2663762768,"GCA_900103845.1","Pseudomonas jinjuensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"893",8073406057,"GCA_012276675.1","Pseudomonas aeruginosa",NA,NA,"tracheal aspirate",NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Trachea","Respiratory system","Unclassified"
"894",2510065053,"GCA_000510705.1","Pseudomonas sp. MOIL14HWK12:I1","Free living","Host, Rhizosphere, Soil","rhizosphere",NA,"Agricultural",NA,"None","Host-associated","Plants","Rhizosphere","Roots","Soil"
"895",8044301631,"GCA_003413175.1","Pseudomonas savastanoi",NA,NA,NA,NA,"Evolution","Phaseolus vulgaris",NA,"Host-associated","Plants","Unclassified","Unclassified","Unclassified"
"896",8052557596,"GCA_003417615.1","Pseudomonas putida",NA,NA,NA,NA,"Environmental",NA,NA,NA,NA,NA,NA,NA
"897",2684622811,"GCA_001555115.1","Pseudomonas aeruginosa",NA,NA,"Sputum",NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Sputum/Phlegm","Respiratory system","Unclassified"
"898",2663762798,"GCA_900115715.1","Pseudomonas sagittaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"899",2718218317,"GCA_001721745.1","Pseudomonas aeruginosa",NA,NA,NA,NA,"Medical","Homo sapiens",NA,"Host-associated","Mammals: Human","Oral cavity","Digestive system","Unclassified"
"900",2731957839,"GCA_000802965.1","Pseudomonas sp. C2",NA,NA,NA,NA,"Environmental",NA,NA,NA,NA,NA,NA,NA
"901",2599185303,"GCA_900116055.1","Pseudomonas sp. NFACC42-2",NA,NA,"single colony isolate",NA,NA,NA,NA,"Host-associated","Plants","Rhizoplane","Roots","Endophytes"
"902",2510461025,NA,"Pseudomonas aeruginosa",NA,"Host","human abdominal abscess, post operative from Stockholm",NA,"Human Pathogen","Homo sapiens",NA,"Host-associated","Mammals: Human","Abscess","Abdominal/Peritoneal cavity","Unclassified"
"903",8011093203,"GCA_902497895.1","Pseudomonas fluorescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
